regions,day,text,img,url
서울,2022-11-21,학군으로 버티던 '강남·목동'도 안전지대 아니다,https://s.pstatic.net/imgnews/image/thumb100/014/2022/11/21/4930779.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=014&arti_id=0004930779
서울,2022-11-21,강남 신통기획 1호 대치 미도 결국 50층 재건축 길 열렸다,https://s.pstatic.net/imgnews/image/thumb100/011/2022/11/20/4124285.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=011&arti_id=0004124285
경기,2022-11-21,‘준강남’ 과천도 거래절벽에 신음… 올 한해 ‘66건’,https://s.pstatic.net/imgnews/image/thumb100/277/2022/11/21/5180270.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=277&arti_id=0005180270
경기,2022-11-21,"""지하철은 반갑지만""…김포 집주인들 '기대 반 걱정 반'",https://s.pstatic.net/imgnews/image/thumb100/015/2022/11/15/4774824.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=015&arti_id=0004774824
부산,2022-11-23,부산 조정지역 어디 해제될까…북·사하구 모든 요건 충족,https://s.pstatic.net/imgnews/image/thumb100/658/2022/09/09/19720.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=658&arti_id=0000019720
부산,2022-11-23,부산 아파트 매매가 10년 1개월 만에 최대폭 하락,https://s.pstatic.net/imgnews/image/thumb100/014/2022/08/31/4891554.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=014&arti_id=0004891554
서울,2022-11-23,‘10억이나’ 강남 중 송파지역 유독 뚝뚝...대장아파트도 무너져,https://s.pstatic.net/imgnews/image/thumb100/243/2022/11/22/34691.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=243&arti_id=0000034691
인천,2022-11-23,'3기 신도시' 첫 테이프 끊는 계양…2026년까지 1.7만가구 공급,https://s.pstatic.net/imgnews/image/thumb100/011/2022/11/14/4122017.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=011&arti_id=0004122017
인천,2022-11-23,송도 84㎡ 1년새 5억 뚝 … 은마는 20억선 무너져,https://s.pstatic.net/imgnews/image/thumb100/009/2022/11/03/5039861.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=009&arti_id=0005039861
대전,2022-11-23,"대구시, 주택 임대차 신고 과태료 부과 1년 더 유예",https://s.pstatic.net/imgnews/image/thumb100/421/2022/05/04/6070807.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=421&arti_id=0006070807
대전,2022-11-23,"대전시, 대덕평촌지구 지원시설용지 4필지 추가 공급",https://s.pstatic.net/imgnews/image/thumb100/421/2022/03/14/5967079.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=421&arti_id=0005967079
대구,2022-11-23,대구 아파트 낙찰가율 80%선 붕괴 초읽기…저가 매수 행렬 이어질까 [심은지의 경매 인사이트],https://s.pstatic.net/imgnews/image/thumb100/015/2022/09/19/4751214.jpg,https://land.naver.com/news/newsRead.naver?type=region&prsco_id=015&arti_id=0004751214
